PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,Label
-2180.632,-1484.7335,1982.7656,-660.536,-183.8546,-849.4091,-305.802,968.57715,0
-2487.2705,1736.6085,-403.7119,-625.1504,-1734.8041,-130.167,-620.48737,571.9777,0
-428.0722,-1652.4807,1273.7207,836.41144,2187.4492,-876.36615,-1598.7965,1679.6199,0
-1594.2838,1986.3605,199.3767,525.60657,-678.0786,-1801.3224,1286.9958,56.022484,0
1149.3096,2411.588,2215.5408,2469.2153,1095.5974,1468.032,77.34927,519.4642,0
-1264.1172,-746.90796,-173.10161,2597.2493,585.1981,-1135.8582,236.75978,904.5022,0
-1298.9122,-2068.394,262.67944,-439.9909,2594.6948,681.0438,-2224.3887,1471.3917,0
-3483.063,-215.10962,926.7792,-66.48592,720.54865,-2425.3484,-2115.812,495.22763,0
1148.5007,-1803.1322,-970.9377,-1532.9512,31.961693,1140.3245,633.8003,995.38794,0
-1851.8893,856.3618,-479.8717,-3036.5078,-163.92377,165.32825,1027.3152,545.54584,0
3472.6436,957.95105,-3086.6504,2367.638,-713.57043,754.31433,-172.45676,-1211.78,0
-362.13336,3458.6038,638.80536,-2671.1038,1115.8424,-699.1396,2304.4385,-292.72427,0
2641.0762,-1595.9022,-764.88464,2642.2983,-566.08276,2518.7231,854.741,636.32764,0
-2107.6982,20.201487,1848.3763,-209.72948,1802.8329,-1075.7278,-2487.6858,1641.911,0
-1155.6882,2093.064,2588.6697,-756.4149,2687.7705,-331.0818,-295.44858,-49.169724,0
-362.2956,2178.2932,649.6142,-1585.8484,85.116875,1977.004,-793.1495,-864.75464,0
-1101.0942,2901.9866,2524.929,314.46722,306.0431,-1133.263,2632.2463,682.52344,0
666.4803,-1640.3812,-1344.0018,-877.20435,824.0817,2386.4155,-1053.1138,-321.44598,0
921.8661,2472.79,351.83167,1233.4108,-3167.508,1631.8413,2829.6758,774.90735,0
-2609.102,924.5087,-958.8063,-326.73474,-33.86989,-2061.381,786.81024,813.26697,0
1811.4824,-397.2862,-2757.0488,-2020.1115,40.94587,490.53857,-104.087395,442.58273,0
725.2186,2810.3247,-444.63208,-2133.8735,1514.2853,596.1533,1302.9583,-563.71375,0
199.27472,1241.1366,382.5056,-1759.5724,494.98547,1528.3535,1272.6611,5.1168017,0
1045.9518,1851.8577,363.46292,-1969.1471,169.04538,940.1463,351.30304,-1584.6155,0
-380.50708,355.7867,-887.7968,-2743.6497,1265.8679,1540.2628,363.43063,513.8965,0
2156.4294,-752.5647,-2940.29,2595.7126,-2381.8884,426.74377,1659.2627,1911.8018,0
2948.6887,-1129.8729,-723.385,1887.2551,-461.50955,1608.7095,999.3741,836.5899,0
-580.41125,-33.740574,2023.3712,164.42767,651.76953,103.27003,-22.101122,-1836.2646,0
-997.09106,520.1457,6.7653804,622.8397,-1317.8185,-67.26045,302.4216,-407.45447,0
59.456505,1674.6932,294.39078,-1888.9686,93.8854,968.89435,805.8944,116.44161,0
564.94684,2445.5212,1340.9445,1569.4316,807.4257,798.66833,1707.3276,-669.67993,0
-1989.4803,-1905.7227,-2537.1787,2010.4175,1712.6575,-1004.239,-944.22644,-487.6381,0
-1569.4727,-2787.8105,-683.7672,2361.025,955.614,-576.4226,65.81518,87.416725,0
-2441.486,-1802.1296,283.0635,1712.2334,1458.8196,-242.08627,-448.89664,1242.8767,0
489.63736,2583.473,1513.9287,25.320133,1130.7783,367.5852,71.97123,369.18408,0
3894.2258,-1184.4215,188.7828,351.9611,835.3609,1384.3269,1087.1985,-1218.0974,0
2149.6091,-106.00917,-2149.5425,-443.63516,-305.53937,2.5067668,-1350.6246,649.7685,0
-2160.2607,896.35364,1725.7522,348.94058,596.24713,-843.804,-685.5659,1775.7384,0
-274.12646,4262.9946,1640.4357,-2358.175,1147.6132,181.93765,3226.285,-1021.2856,0
-900.99646,-1367.191,-999.9131,-481.1216,-153.05766,1060.8102,1478.5737,-255.51875,0
-353.6025,1797.4391,540.4496,-2276.8755,-225.38799,321.19604,-99.50747,-143.21632,0
-2521.9324,92.94662,1871.941,2259.1316,2566.8286,-189.0969,328.32266,854.04364,0
1136.3394,2556.6536,-1022.4738,1221.5034,-2694.4363,-47.3857,2776.9744,1903.832,0
-1267.1083,-193.92604,784.2892,-812.2494,281.7477,-390.2557,426.63315,-226.32286,0
-484.1439,3488.1714,754.59283,-501.26025,-465.80988,947.37,2339.8013,-654.9578,0
-1193.9692,-1071.3722,-401.7943,2345.465,250.15509,498.58746,34.84606,63.450474,0
515.2531,3387.8838,1002.3906,1031.6012,426.054,545.6433,494.6166,460.8146,0
-366.38297,2211.4324,586.6693,-1622.5468,8.956889,1948.381,-831.77,-859.85443,0
-2292.7205,224.86403,1790.4462,1621.3575,924.37396,-2055.807,-1245.5188,1116.413,0
-84.16262,2148.565,208.7281,-1998.0476,350.86496,720.8924,871.8804,-638.8368,0
-1841.9469,1654.6674,-156.14207,649.9171,-918.7775,-1606.1448,1309.4386,-646.00745,0
-2067.3992,1045.3737,86.54766,1396.7719,-991.723,-1120.784,472.67365,-1503.5907,0
-1953.7028,1875.4023,-1236.3098,106.54806,-171.105,-1654.6229,1473.297,-369.76193,0
-391.4236,-2641.0264,-3150.5925,-511.55414,1475.6274,-490.0808,-683.3323,143.87112,0
648.7987,-756.9428,322.42764,-69.966934,1567.636,1423.2794,-390.24054,1055.4642,0
-414.74927,-585.1517,-3805.81,1129.3649,-52.276375,-2300.7974,-1824.7803,-1200.6064,0
-561.01074,-250.9821,47.30774,1332.8624,1251.9653,246.48155,-274.6135,768.84106,0
524.0993,1212.763,1008.07996,628.9238,866.0696,-11.854862,383.08328,74.99306,0
-633.61127,1991.0908,-1983.7241,-1073.1302,800.7671,-1801.9043,683.0019,783.0906,0
-1811.0847,-544.34735,-1.5103515,-85.97298,302.80832,-80.616936,-452.9839,603.7871,0
826.25116,1564.5745,-2663.12,1594.827,-1001.8121,-1093.131,694.9428,667.9193,0
